"i","v"
"-0.00000098","0.001"
"0.0000027","0.051000000000000004"
"0.000009","0.12"
"0.000012199999999999998","0.149"
"0.000018399999999999997","0.199"
"0.000025699999999999998","0.243"
"0.000037","0.305"
"0.0000495","0.356"
"0.00006379999999999999","0.4"
"0.00007890000000000001","0.45"
"0.0000982","0.496"
"0.0001248","0.548"
"0.0001609","0.602"
"0.00019969999999999998","0.647"
"0.0002562","0.7000000000000001"
"0.00033099999999999997","0.752"
"0.000419","0.799"
"0.0005394","0.85"
"0.0007152","0.907"
"0.0008837","0.9500000000000001"
"57/50000","1.002"
"1501/1000000","1.055"
"929/500000","1.097"
"2447/1000000","1.1500000000000001"
"3243/1000000","1.203"
"2081/500000","1.248"
"5437/1000000","1.295"
"1477/200000","1.347"
"10379/1000000","1.403"
"14433/1000000","1.453"
"19973/1000000","1.5"
"28683/1000000","1.549"
"136/3125","1.6"
"1303/20000","1.6480000000000001"
"10543/100000","1.903"
"393/2500","1.747"
"119/500","1.795"
"-0.0000174","-0.314"
"-0.0000354","-0.748"
"-0.000052799999999999996","-1.189"
"-0.0000746","-1.7"
"-0.0000846","-1.93"